Distirct No (apylinkės nr.),Party No (partijos nr.),Constituency No (apygardos nr.),By post (balsai paštu),Distirct (apylinkė),In distirct (balsai apylinkėje),Party (partija),Constituency (apygarda),Total (balsai iš viso),Valid ballot papers percent (galiojančių biuletenių skaičius)
53,8,66,4,S. Lozoraičio,160,Lietuvos socialdemokratų partija,Kauno kaimiškoji,164,16.17
53,5,66,3,S. Lozoraičio,163,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Kauno kaimiškoji,166,16.37
52,3,66,4,Bibliotekos,140,Darbo partija,Kauno kaimiškoji,144,15.84
52,8,66,6,Bibliotekos,127,Lietuvos socialdemokratų partija,Kauno kaimiškoji,133,14.63
52,5,66,15,Bibliotekos,149,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Kauno kaimiškoji,164,18.04
52,1,66,2,Bibliotekos,87,Lietuvos Respublikos liberalų sąjūdis,Kauno kaimiškoji,89,9.79
52,6,66,11,Bibliotekos,256,„Drąsos kelias“ politinė partija,Kauno kaimiškoji,267,29.37
52,9,66,,Bibliotekos,26,Partija Tvarka ir teisingumas,Kauno kaimiškoji,26,2.86
1,10,66,,Mastaičių,4,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Kauno kaimiškoji,4,0.54
1,15,66,,Mastaičių,5,Partija „Jaunoji Lietuva“,Kauno kaimiškoji,5,0.67
1,4,66,,Mastaičių,,Demokratinė darbo ir vienybės partija,Kauno kaimiškoji,,
1,17,66,,Mastaičių,,Emigrantų partija,Kauno kaimiškoji,,
1,2,66,,Mastaičių,,Respublikonų partija,Kauno kaimiškoji,,
1,12,66,,Mastaičių,4,Lietuvos žmonių partija,Kauno kaimiškoji,4,0.54
43,15,64,,Slabadų,,Partija „Jaunoji Lietuva“,Šakių,,
43,4,64,2,Slabadų,1,Demokratinė darbo ir vienybės partija,Šakių,3,2.1
43,17,64,,Slabadų,,Emigrantų partija,Šakių,,
43,2,64,,Slabadų,,Respublikonų partija,Šakių,,
43,12,64,,Slabadų,,Lietuvos žmonių partija,Šakių,,
53,1,66,2,S. Lozoraičio,71,Lietuvos Respublikos liberalų sąjūdis,Kauno kaimiškoji,73,7.2
53,6,66,7,S. Lozoraičio,252,„Drąsos kelias“ politinė partija,Kauno kaimiškoji,259,25.54
53,9,66,,S. Lozoraičio,36,Partija Tvarka ir teisingumas,Kauno kaimiškoji,36,3.55
53,7,66,,S. Lozoraičio,1,Lietuvos lenkų rinkimų akcija,Kauno kaimiškoji,1,0.1
53,14,66,,S. Lozoraičio,31,Lietuvos valstiečių ir žaliųjų sąjunga,Kauno kaimiškoji,31,3.06
53,16,66,3,S. Lozoraičio,19,Liberalų ir centro sąjunga,Kauno kaimiškoji,22,2.17
53,18,66,,S. Lozoraičio,6,Politinė partija „Sąjunga Taip“,Kauno kaimiškoji,6,0.59
53,13,66,,S. Lozoraičio,8,Socialistinis liaudies Frontas,Kauno kaimiškoji,8,0.79
52,7,66,,Bibliotekos,,Lietuvos lenkų rinkimų akcija,Kauno kaimiškoji,,
52,14,66,2,Bibliotekos,15,Lietuvos valstiečių ir žaliųjų sąjunga,Kauno kaimiškoji,17,1.87
52,16,66,,Bibliotekos,16,Liberalų ir centro sąjunga,Kauno kaimiškoji,16,1.76
52,18,66,,Bibliotekos,9,Politinė partija „Sąjunga Taip“,Kauno kaimiškoji,9,0.99
52,13,66,,Bibliotekos,2,Socialistinis liaudies Frontas,Kauno kaimiškoji,2,0.22
52,11,66,,Bibliotekos,11,Krikščionių partija,Kauno kaimiškoji,11,1.21
52,10,66,,Bibliotekos,5,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Kauno kaimiškoji,5,0.55
1,3,62,11,Viešvilės,129,Darbo partija,Jurbarko,140,32.41
1,8,62,16,Viešvilės,79,Lietuvos socialdemokratų partija,Jurbarko,95,21.99
1,5,62,5,Viešvilės,51,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Jurbarko,56,12.96
1,1,62,4,Viešvilės,14,Lietuvos Respublikos liberalų sąjūdis,Jurbarko,18,4.17
1,6,62,3,Viešvilės,17,„Drąsos kelias“ politinė partija,Jurbarko,20,4.63
1,3,57,23,Lentvario,561,Darbo partija,Vilniaus - Trakų,584,38.35
1,8,57,9,Lentvario,156,Lietuvos socialdemokratų partija,Vilniaus - Trakų,165,10.83
1,5,57,6,Lentvario,94,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Vilniaus - Trakų,100,6.57
1,1,57,2,Lentvario,50,Lietuvos Respublikos liberalų sąjūdis,Vilniaus - Trakų,52,3.41
1,6,57,7,Lentvario,53,„Drąsos kelias“ politinė partija,Vilniaus - Trakų,60,3.94
1,9,57,6,Lentvario,89,Partija Tvarka ir teisingumas,Vilniaus - Trakų,95,6.24
53,11,66,2,S. Lozoraičio,10,Krikščionių partija,Kauno kaimiškoji,12,1.18
53,10,66,,S. Lozoraičio,7,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Kauno kaimiškoji,7,0.69
53,15,66,,S. Lozoraičio,11,Partija „Jaunoji Lietuva“,Kauno kaimiškoji,11,1.08
53,4,66,,S. Lozoraičio,5,Demokratinė darbo ir vienybės partija,Kauno kaimiškoji,5,0.49
53,17,66,,S. Lozoraičio,10,Emigrantų partija,Kauno kaimiškoji,10,0.99
53,2,66,,S. Lozoraičio,2,Respublikonų partija,Kauno kaimiškoji,2,0.2
53,12,66,,S. Lozoraičio,1,Lietuvos žmonių partija,Kauno kaimiškoji,1,0.1
52,15,66,,Bibliotekos,17,Partija „Jaunoji Lietuva“,Kauno kaimiškoji,17,1.87
52,4,66,,Bibliotekos,2,Demokratinė darbo ir vienybės partija,Kauno kaimiškoji,2,0.22
52,17,66,,Bibliotekos,4,Emigrantų partija,Kauno kaimiškoji,4,0.44
52,2,66,,Bibliotekos,2,Respublikonų partija,Kauno kaimiškoji,2,0.22
52,12,66,,Bibliotekos,1,Lietuvos žmonių partija,Kauno kaimiškoji,1,0.11
1,9,62,10,Viešvilės,45,Partija Tvarka ir teisingumas,Jurbarko,55,12.73
1,7,62,,Viešvilės,,Lietuvos lenkų rinkimų akcija,Jurbarko,,
1,14,62,,Viešvilės,12,Lietuvos valstiečių ir žaliųjų sąjunga,Jurbarko,12,2.78
1,16,62,2,Viešvilės,8,Liberalų ir centro sąjunga,Jurbarko,10,2.31
1,18,62,1,Viešvilės,1,Politinė partija „Sąjunga Taip“,Jurbarko,2,0.46
1,13,62,,Viešvilės,2,Socialistinis liaudies Frontas,Jurbarko,2,0.46
1,11,62,,Viešvilės,2,Krikščionių partija,Jurbarko,2,0.46
1,7,57,14,Lentvario,253,Lietuvos lenkų rinkimų akcija,Vilniaus - Trakų,267,17.53
1,14,57,,Lentvario,20,Lietuvos valstiečių ir žaliųjų sąjunga,Vilniaus - Trakų,20,1.31
1,16,57,11,Lentvario,100,Liberalų ir centro sąjunga,Vilniaus - Trakų,111,7.29
1,18,57,1,Lentvario,19,Politinė partija „Sąjunga Taip“,Vilniaus - Trakų,20,1.31
1,13,57,1,Lentvario,14,Socialistinis liaudies Frontas,Vilniaus - Trakų,15,0.98
1,11,57,,Lentvario,4,Krikščionių partija,Vilniaus - Trakų,4,0.26
1,10,57,1,Lentvario,6,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Vilniaus - Trakų,7,0.46
1,15,57,,Lentvario,3,Partija „Jaunoji Lietuva“,Vilniaus - Trakų,3,0.2
1,3,60,16,Rimkų,329,Darbo partija,Jonavos,345,26.22
1,8,60,27,Rimkų,309,Lietuvos socialdemokratų partija,Jonavos,336,25.53
1,5,60,15,Rimkų,126,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Jonavos,141,10.71
1,1,60,14,Rimkų,102,Lietuvos Respublikos liberalų sąjūdis,Jonavos,116,8.81
1,6,60,9,Rimkų,166,„Drąsos kelias“ politinė partija,Jonavos,175,13.3
451,3,57,19,Salininkų,215,Darbo partija,Vilniaus - Trakų,234,24.0
451,8,57,5,Salininkų,98,Lietuvos socialdemokratų partija,Vilniaus - Trakų,103,10.56
451,5,57,3,Salininkų,142,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Vilniaus - Trakų,145,14.87
451,1,57,5,Salininkų,92,Lietuvos Respublikos liberalų sąjūdis,Vilniaus - Trakų,97,9.95
451,6,57,3,Salininkų,41,„Drąsos kelias“ politinė partija,Vilniaus - Trakų,44,4.51
451,9,57,2,Salininkų,63,Partija Tvarka ir teisingumas,Vilniaus - Trakų,65,6.67
50,3,57,9,Melioratorių,284,Darbo partija,Vilniaus - Trakų,293,18.27
50,8,57,9,Melioratorių,246,Lietuvos socialdemokratų partija,Vilniaus - Trakų,255,15.9
50,5,57,11,Melioratorių,231,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Vilniaus - Trakų,242,15.09
50,1,57,4,Melioratorių,154,Lietuvos Respublikos liberalų sąjūdis,Vilniaus - Trakų,158,9.85
50,6,57,5,Melioratorių,79,„Drąsos kelias“ politinė partija,Vilniaus - Trakų,84,5.24
1,10,62,1,Viešvilės,9,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Jurbarko,10,2.31
1,15,62,,Viešvilės,4,Partija „Jaunoji Lietuva“,Jurbarko,4,0.93
1,4,62,,Viešvilės,4,Demokratinė darbo ir vienybės partija,Jurbarko,4,0.93
1,17,62,,Viešvilės,,Emigrantų partija,Jurbarko,,
1,2,62,,Viešvilės,,Respublikonų partija,Jurbarko,,
1,12,62,1,Viešvilės,1,Lietuvos žmonių partija,Jurbarko,2,0.46
1,4,57,,Lentvario,1,Demokratinė darbo ir vienybės partija,Vilniaus - Trakų,1,0.07
1,17,57,,Lentvario,,Emigrantų partija,Vilniaus - Trakų,,
1,2,57,,Lentvario,19,Respublikonų partija,Vilniaus - Trakų,19,1.25
1,12,57,,Lentvario,,Lietuvos žmonių partija,Vilniaus - Trakų,,
1,9,60,4,Rimkų,63,Partija Tvarka ir teisingumas,Jonavos,67,5.09
1,7,60,1,Rimkų,8,Lietuvos lenkų rinkimų akcija,Jonavos,9,0.68
1,14,60,5,Rimkų,45,Lietuvos valstiečių ir žaliųjų sąjunga,Jonavos,50,3.8
1,16,60,,Rimkų,10,Liberalų ir centro sąjunga,Jonavos,10,0.76
1,18,60,2,Rimkų,18,Politinė partija „Sąjunga Taip“,Jonavos,20,1.52
1,13,60,1,Rimkų,16,Socialistinis liaudies Frontas,Jonavos,17,1.29
1,11,60,,Rimkų,12,Krikščionių partija,Jonavos,12,0.91
1,10,60,1,Rimkų,6,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Jonavos,7,0.53
451,7,57,7,Salininkų,154,Lietuvos lenkų rinkimų akcija,Vilniaus - Trakų,161,16.51
451,14,57,1,Salininkų,23,Lietuvos valstiečių ir žaliųjų sąjunga,Vilniaus - Trakų,24,2.46
451,16,57,,Salininkų,14,Liberalų ir centro sąjunga,Vilniaus - Trakų,14,1.44
451,18,57,3,Salininkų,47,Politinė partija „Sąjunga Taip“,Vilniaus - Trakų,50,5.13
451,13,57,,Salininkų,7,Socialistinis liaudies Frontas,Vilniaus - Trakų,7,0.72
451,11,57,,Salininkų,7,Krikščionių partija,Vilniaus - Trakų,7,0.72
451,10,57,,Salininkų,11,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Vilniaus - Trakų,11,1.13
451,15,57,,Salininkų,4,Partija „Jaunoji Lietuva“,Vilniaus - Trakų,4,0.41
50,9,57,6,Melioratorių,113,Partija Tvarka ir teisingumas,Vilniaus - Trakų,119,7.42
50,7,57,10,Melioratorių,265,Lietuvos lenkų rinkimų akcija,Vilniaus - Trakų,275,17.14
50,14,57,1,Melioratorių,47,Lietuvos valstiečių ir žaliųjų sąjunga,Vilniaus - Trakų,48,2.99
50,16,57,,Melioratorių,16,Liberalų ir centro sąjunga,Vilniaus - Trakų,16,1.0
50,18,57,,Melioratorių,42,Politinė partija „Sąjunga Taip“,Vilniaus - Trakų,42,2.62
50,13,57,,Melioratorių,32,Socialistinis liaudies Frontas,Vilniaus - Trakų,32,2.0
50,11,57,1,Melioratorių,13,Krikščionių partija,Vilniaus - Trakų,14,0.87
50,10,57,,Melioratorių,9,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Vilniaus - Trakų,9,0.56
1,15,60,,Rimkų,2,Partija „Jaunoji Lietuva“,Jonavos,2,0.15
1,4,60,,Rimkų,1,Demokratinė darbo ir vienybės partija,Jonavos,1,0.08
1,17,60,,Rimkų,,Emigrantų partija,Jonavos,,
1,2,60,,Rimkų,3,Respublikonų partija,Jonavos,3,0.23
1,12,60,,Rimkų,5,Lietuvos žmonių partija,Jonavos,5,0.38
451,4,57,,Salininkų,4,Demokratinė darbo ir vienybės partija,Vilniaus - Trakų,4,0.41
451,17,57,,Salininkų,1,Emigrantų partija,Vilniaus - Trakų,1,0.1
451,2,57,,Salininkų,3,Respublikonų partija,Vilniaus - Trakų,3,0.31
451,12,57,,Salininkų,1,Lietuvos žmonių partija,Vilniaus - Trakų,1,0.1
50,15,57,,Melioratorių,5,Partija „Jaunoji Lietuva“,Vilniaus - Trakų,5,0.31
50,4,57,,Melioratorių,3,Demokratinė darbo ir vienybės partija,Vilniaus - Trakų,3,0.19
50,17,57,,Melioratorių,4,Emigrantų partija,Vilniaus - Trakų,4,0.25
50,2,57,,Melioratorių,2,Respublikonų partija,Vilniaus - Trakų,2,0.12
50,12,57,,Melioratorių,3,Lietuvos žmonių partija,Vilniaus - Trakų,3,0.19
49,3,57,7,Juodšilių,126,Darbo partija,Vilniaus - Trakų,133,10.98
49,8,57,5,Juodšilių,61,Lietuvos socialdemokratų partija,Vilniaus - Trakų,66,5.45
49,5,57,5,Juodšilių,59,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Vilniaus - Trakų,64,5.28
49,1,57,2,Juodšilių,41,Lietuvos Respublikos liberalų sąjūdis,Vilniaus - Trakų,43,3.55
49,6,57,,Juodšilių,43,„Drąsos kelias“ politinė partija,Vilniaus - Trakų,43,3.55
49,9,57,5,Juodšilių,63,Partija Tvarka ir teisingumas,Vilniaus - Trakų,68,5.62
48,3,57,6,Mažųjų Lygainių,18,Darbo partija,Vilniaus - Trakų,24,9.45
48,8,57,1,Mažųjų Lygainių,,Lietuvos socialdemokratų partija,Vilniaus - Trakų,1,0.39
48,5,57,1,Mažųjų Lygainių,11,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Vilniaus - Trakų,12,4.72
48,1,57,,Mažųjų Lygainių,7,Lietuvos Respublikos liberalų sąjūdis,Vilniaus - Trakų,7,2.76
48,6,57,,Mažųjų Lygainių,3,„Drąsos kelias“ politinė partija,Vilniaus - Trakų,3,1.18
49,7,57,171,Juodšilių,577,Lietuvos lenkų rinkimų akcija,Vilniaus - Trakų,748,61.77
49,14,57,2,Juodšilių,9,Lietuvos valstiečių ir žaliųjų sąjunga,Vilniaus - Trakų,11,0.91
49,16,57,,Juodšilių,5,Liberalų ir centro sąjunga,Vilniaus - Trakų,5,0.41
49,18,57,,Juodšilių,7,Politinė partija „Sąjunga Taip“,Vilniaus - Trakų,7,0.58
49,13,57,1,Juodšilių,7,Socialistinis liaudies Frontas,Vilniaus - Trakų,8,0.66
49,11,57,,Juodšilių,2,Krikščionių partija,Vilniaus - Trakų,2,0.17
49,10,57,,Juodšilių,9,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Vilniaus - Trakų,9,0.74
49,15,57,2,Juodšilių,1,Partija „Jaunoji Lietuva“,Vilniaus - Trakų,3,0.25
48,9,57,1,Mažųjų Lygainių,5,Partija Tvarka ir teisingumas,Vilniaus - Trakų,6,2.36
48,7,57,68,Mažųjų Lygainių,120,Lietuvos lenkų rinkimų akcija,Vilniaus - Trakų,188,74.02
48,14,57,,Mažųjų Lygainių,3,Lietuvos valstiečių ir žaliųjų sąjunga,Vilniaus - Trakų,3,1.18
48,16,57,,Mažųjų Lygainių,3,Liberalų ir centro sąjunga,Vilniaus - Trakų,3,1.18
48,18,57,,Mažųjų Lygainių,,Politinė partija „Sąjunga Taip“,Vilniaus - Trakų,,
48,13,57,1,Mažųjų Lygainių,1,Socialistinis liaudies Frontas,Vilniaus - Trakų,2,0.79
48,11,57,2,Mažųjų Lygainių,,Krikščionių partija,Vilniaus - Trakų,2,0.79
49,4,57,,Juodšilių,,Demokratinė darbo ir vienybės partija,Vilniaus - Trakų,,
49,17,57,,Juodšilių,,Emigrantų partija,Vilniaus - Trakų,,
49,2,57,,Juodšilių,1,Respublikonų partija,Vilniaus - Trakų,1,0.08
49,12,57,,Juodšilių,,Lietuvos žmonių partija,Vilniaus - Trakų,,
48,10,57,1,Mažųjų Lygainių,,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Vilniaus - Trakų,1,0.39
48,15,57,,Mažųjų Lygainių,1,Partija „Jaunoji Lietuva“,Vilniaus - Trakų,1,0.39
48,4,57,,Mažųjų Lygainių,1,Demokratinė darbo ir vienybės partija,Vilniaus - Trakų,1,0.39
48,17,57,,Mažųjų Lygainių,,Emigrantų partija,Vilniaus - Trakų,,
48,2,57,,Mažųjų Lygainių,,Respublikonų partija,Vilniaus - Trakų,,
48,12,57,,Mažųjų Lygainių,,Lietuvos žmonių partija,Vilniaus - Trakų,,
54,3,65,7,Muniškių,87,Darbo partija,Kauno - Kėdainių,94,20.48
54,8,65,26,Muniškių,80,Lietuvos socialdemokratų partija,Kauno - Kėdainių,106,23.09
54,5,65,7,Muniškių,67,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Kauno - Kėdainių,74,16.12
54,1,65,3,Muniškių,28,Lietuvos Respublikos liberalų sąjūdis,Kauno - Kėdainių,31,6.75
54,6,65,4,Muniškių,53,„Drąsos kelias“ politinė partija,Kauno - Kėdainių,57,12.42
51,3,65,7,Saulės,120,Darbo partija,Kauno - Kėdainių,127,13.71
51,8,65,4,Saulės,118,Lietuvos socialdemokratų partija,Kauno - Kėdainių,122,13.17
51,5,65,12,Saulės,210,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Kauno - Kėdainių,222,23.97
51,1,65,8,Saulės,115,Lietuvos Respublikos liberalų sąjūdis,Kauno - Kėdainių,123,13.28
51,6,65,8,Saulės,144,„Drąsos kelias“ politinė partija,Kauno - Kėdainių,152,16.41
54,9,65,6,Muniškių,21,Partija Tvarka ir teisingumas,Kauno - Kėdainių,27,5.88
54,7,65,,Muniškių,,Lietuvos lenkų rinkimų akcija,Kauno - Kėdainių,,
54,14,65,9,Muniškių,37,Lietuvos valstiečių ir žaliųjų sąjunga,Kauno - Kėdainių,46,10.02
54,16,65,,Muniškių,2,Liberalų ir centro sąjunga,Kauno - Kėdainių,2,0.44
54,18,65,,Muniškių,6,Politinė partija „Sąjunga Taip“,Kauno - Kėdainių,6,1.31
54,13,65,2,Muniškių,2,Socialistinis liaudies Frontas,Kauno - Kėdainių,4,0.87
54,11,65,,Muniškių,1,Krikščionių partija,Kauno - Kėdainių,1,0.22
54,10,65,,Muniškių,1,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Kauno - Kėdainių,1,0.22
51,9,65,,Saulės,32,Partija Tvarka ir teisingumas,Kauno - Kėdainių,32,3.46
51,7,65,,Saulės,5,Lietuvos lenkų rinkimų akcija,Kauno - Kėdainių,5,0.54
51,14,65,,Saulės,31,Lietuvos valstiečių ir žaliųjų sąjunga,Kauno - Kėdainių,31,3.35
51,16,65,3,Saulės,24,Liberalų ir centro sąjunga,Kauno - Kėdainių,27,2.92
51,18,65,,Saulės,18,Politinė partija „Sąjunga Taip“,Kauno - Kėdainių,18,1.94
51,13,65,,Saulės,6,Socialistinis liaudies Frontas,Kauno - Kėdainių,6,0.65
51,11,65,,Saulės,25,Krikščionių partija,Kauno - Kėdainių,25,2.7
50,3,65,6,Mokyklos,67,Darbo partija,Kauno - Kėdainių,73,14.63
50,8,65,12,Mokyklos,151,Lietuvos socialdemokratų partija,Kauno - Kėdainių,163,32.67
50,5,65,13,Mokyklos,63,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Kauno - Kėdainių,76,15.23
50,1,65,5,Mokyklos,76,Lietuvos Respublikos liberalų sąjūdis,Kauno - Kėdainių,81,16.23
50,6,65,4,Mokyklos,48,„Drąsos kelias“ politinė partija,Kauno - Kėdainių,52,10.42
49,3,65,23,Vainikų,77,Darbo partija,Kauno - Kėdainių,100,56.18
49,8,65,4,Vainikų,14,Lietuvos socialdemokratų partija,Kauno - Kėdainių,18,10.11
49,5,65,7,Vainikų,12,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Kauno - Kėdainių,19,10.67
49,1,65,,Vainikų,4,Lietuvos Respublikos liberalų sąjūdis,Kauno - Kėdainių,4,2.25
49,6,65,,Vainikų,9,„Drąsos kelias“ politinė partija,Kauno - Kėdainių,9,5.06
54,15,65,,Muniškių,1,Partija „Jaunoji Lietuva“,Kauno - Kėdainių,1,0.22
54,4,65,1,Muniškių,,Demokratinė darbo ir vienybės partija,Kauno - Kėdainių,1,0.22
54,17,65,,Muniškių,1,Emigrantų partija,Kauno - Kėdainių,1,0.22
54,2,65,,Muniškių,1,Respublikonų partija,Kauno - Kėdainių,1,0.22
54,12,65,,Muniškių,6,Lietuvos žmonių partija,Kauno - Kėdainių,6,1.31
51,10,65,,Saulės,3,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Kauno - Kėdainių,3,0.32
51,15,65,,Saulės,20,Partija „Jaunoji Lietuva“,Kauno - Kėdainių,20,2.16
51,4,65,,Saulės,,Demokratinė darbo ir vienybės partija,Kauno - Kėdainių,,
51,17,65,,Saulės,5,Emigrantų partija,Kauno - Kėdainių,5,0.54
51,2,65,1,Saulės,3,Respublikonų partija,Kauno - Kėdainių,4,0.43
51,12,65,3,Saulės,1,Lietuvos žmonių partija,Kauno - Kėdainių,4,0.43
50,9,65,,Mokyklos,11,Partija Tvarka ir teisingumas,Kauno - Kėdainių,11,2.2
50,7,65,,Mokyklos,,Lietuvos lenkų rinkimų akcija,Kauno - Kėdainių,,
50,14,65,1,Mokyklos,17,Lietuvos valstiečių ir žaliųjų sąjunga,Kauno - Kėdainių,18,3.61
50,16,65,,Mokyklos,8,Liberalų ir centro sąjunga,Kauno - Kėdainių,8,1.6
50,18,65,,Mokyklos,8,Politinė partija „Sąjunga Taip“,Kauno - Kėdainių,8,1.6
50,13,65,,Mokyklos,2,Socialistinis liaudies Frontas,Kauno - Kėdainių,2,0.4
50,11,65,,Mokyklos,2,Krikščionių partija,Kauno - Kėdainių,2,0.4
49,9,65,3,Vainikų,6,Partija Tvarka ir teisingumas,Kauno - Kėdainių,9,5.06
49,7,65,,Vainikų,,Lietuvos lenkų rinkimų akcija,Kauno - Kėdainių,,
49,14,65,4,Vainikų,6,Lietuvos valstiečių ir žaliųjų sąjunga,Kauno - Kėdainių,10,5.62
49,16,65,,Vainikų,2,Liberalų ir centro sąjunga,Kauno - Kėdainių,2,1.12
49,18,65,,Vainikų,,Politinė partija „Sąjunga Taip“,Kauno - Kėdainių,,
49,13,65,,Vainikų,,Socialistinis liaudies Frontas,Kauno - Kėdainių,,
49,11,65,2,Vainikų,,Krikščionių partija,Kauno - Kėdainių,2,1.12
48,3,65,11,Žalgirio,176,Darbo partija,Kauno - Kėdainių,187,16.16
48,8,65,12,Žalgirio,200,Lietuvos socialdemokratų partija,Kauno - Kėdainių,212,18.32
48,5,65,13,Žalgirio,245,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Kauno - Kėdainių,258,22.3
48,1,65,2,Žalgirio,104,Lietuvos Respublikos liberalų sąjūdis,Kauno - Kėdainių,106,9.16
48,6,65,10,Žalgirio,166,„Drąsos kelias“ politinė partija,Kauno - Kėdainių,176,15.21
46,3,65,6,Vilkijos,102,Darbo partija,Kauno - Kėdainių,108,18.56
46,8,65,16,Vilkijos,145,Lietuvos socialdemokratų partija,Kauno - Kėdainių,161,27.66
46,5,65,20,Vilkijos,70,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Kauno - Kėdainių,90,15.46
46,1,65,3,Vilkijos,94,Lietuvos Respublikos liberalų sąjūdis,Kauno - Kėdainių,97,16.67
46,6,65,1,Vilkijos,41,„Drąsos kelias“ politinė partija,Kauno - Kėdainių,42,7.22
50,10,65,1,Mokyklos,1,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Kauno - Kėdainių,2,0.4
50,15,65,,Mokyklos,,Partija „Jaunoji Lietuva“,Kauno - Kėdainių,,
50,4,65,,Mokyklos,,Demokratinė darbo ir vienybės partija,Kauno - Kėdainių,,
